nb,tp,jour
2,16,7-mars
1,16,7-mars
1,16,7-mars
1,16,7-mars
1,16,7-mars
2,15,7-mars
2,15,7-mars
1,15,7-mars
0,15,7-mars
1,15,7-mars
1,15,7-mars
1,15,7-mars
1,15,7-mars
0,15,7-mars
0,15,7-mars
0,15,7-mars
0,15,7-mars
0,14,7-mars
1,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,14,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,12,7-mars
0,11,7-mars
3,11,7-mars
1,11,7-mars
0,10,7-mars
1,10,7-mars
0,10,7-mars
1,10,7-mars
0,10,7-mars
1,7,7-mars
0,7,7-mars
0,2,7-mars
0,2,8-mars
0,1,8-mars
0,1,8-mars
0,1,8-mars
0,1,8-mars
0,1,8-mars
0,1,8-mars
0,2,8-mars
0,2,8-mars
1,3,8-mars
0,5,8-mars
0,5,8-mars
0,5,8-mars
0,5,8-mars
0,5,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,6,8-mars
0,7,8-mars
0,7,8-mars
0,7,8-mars
0,7,8-mars
0,7,8-mars
0,7,8-mars
0,8,8-mars
0,8,8-mars
0,8,8-mars
1,9,8-mars
2,11,8-mars
0,11,8-mars
0,12,8-mars
0,12,8-mars
0,12,8-mars
2,13,8-mars
2,13,8-mars
0,13,8-mars
0,13,8-mars
1,13,8-mars
1,14,8-mars
1,14,8-mars
2,14,8-mars
1,14,8-mars
1,14,8-mars
1,14,8-mars
1,14,8-mars
2,14,8-mars
3,14,8-mars
2,14,8-mars
1,14,8-mars
3,15,8-mars
0,15,8-mars
1,15,8-mars
1,15,8-mars
3,15,8-mars
1,15,8-mars
1,15,8-mars
0,14,8-mars
2,14,8-mars
1,14,8-mars
2,14,8-mars
4,15,8-mars
0,15,8-mars
2,15,8-mars
1,15,8-mars
3,14,8-mars
1,15,8-mars
1,15,8-mars
1,15,8-mars
1,15,8-mars
1,15,8-mars
0,16,8-mars
1,16,8-mars
0,16,8-mars
0,16,8-mars
1,16,8-mars
1,16,8-mars
5,16,8-mars
2,16,8-mars
1,16,8-mars
3,17,8-mars
5,17,8-mars
5,17,8-mars
3,17,8-mars
3,17,8-mars
4,17,8-mars
4,17,8-mars
4,17,8-mars
3,17,8-mars
4,17,8-mars
3,17,8-mars
2,17,8-mars
4,17,8-mars
1,17,8-mars
6,17,8-mars
1,17,8-mars
1,17,8-mars
0,17,8-mars
1,17,8-mars
1,18,8-mars
2,18,8-mars
1,18,8-mars
2,17,8-mars
3,17,8-mars
0,17,8-mars
0,18,8-mars
2,18,8-mars
2,18,8-mars
3,18,8-mars
3,18,8-mars
2,18,8-mars
1,18,8-mars
3,18,8-mars
3,18,8-mars
4,18,8-mars
1,18,8-mars
0,18,8-mars
2,19,8-mars
3,19,8-mars
9,19,8-mars
6,19,8-mars
6,19,8-mars
0,19,8-mars
0,19,8-mars
5,19,8-mars
3,19,8-mars
3,19,8-mars
5,19,8-mars
6,19,8-mars
1,19,8-mars
6,19,8-mars
2,19,8-mars
5,19,8-mars
3,20,8-mars
5,20,8-mars
4,20,8-mars
2,20,8-mars
0,20,8-mars
4,20,8-mars
4,19,8-mars
1,19,8-mars
2,19,8-mars
4,19,8-mars
4,20,8-mars
2,20,8-mars
2,20,8-mars
3,20,8-mars
2,20,8-mars
4,20,8-mars
1,20,8-mars
6,20,8-mars
